Term,Session,Bidding Window,Course Code,Description,Section,Vacancy,Opening Vacancy,Before Process Vacancy,D.I.C.E,After Process Vacancy,Enrolled Students,Median Bid,Min Bid,Instructor,School/Department
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT001,Accounting Study Mission (Asian Studies)(Thailand (Bangkok)),G1,29,29,0,0,0,29,0.00,0.00, PRASART JONGJAROENKAMOL,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT009,Overseas Project Experience (Accounting in Asia)(SMU-X: Bali & Jakarta),G1,27,27,0,0,0,27,0.00,0.00," YUANTO KUSNADI, KEVIN LEE",SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G1,47,47,0,0,0,48,0.00,0.00, RICHARD CROWLEY,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G10,47,47,0,0,0,47,0.00,0.00, CHEN CHIH-YING,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G11,47,47,1,0,1,46,0.00,0.00, CHEN CHIH-YING,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G12,47,47,0,0,0,47,0.00,0.00, CHARMAYNE HIGHFIELD,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G2,46,46,0,0,0,46,0.00,0.00, RICHARD CROWLEY,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G3,47,47,1,0,1,46,0.00,0.00, RICHARD CROWLEY,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G4,47,47,0,0,0,47,0.00,0.00, YIN WANG,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G5,47,47,0,0,0,47,0.00,0.00, YIN WANG,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G6,47,47,0,0,0,47,0.00,0.00, DAVID SAMUEL,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G61,0,0,0,0,0,0,0.00,0.00, RICHARD CROWLEY,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G62,1,1,0,0,0,1,0.00,0.00, RICHARD CROWLEY,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G63,0,0,0,0,0,0,0.00,0.00, RICHARD CROWLEY,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G7,47,47,0,0,0,47,0.00,0.00, DAVID SAMUEL,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G8,47,47,1,0,0,47,12.22,12.22, YUN LEE,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G9,47,47,1,0,1,46,0.00,0.00, CHEN CHIH-YING,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,SG81,1,1,0,0,0,1,0.00,0.00, YUN LEE,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,SG82,3,3,0,0,0,3,0.00,0.00," NG RUIMIN, SHAPHAN HARUN",SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,SG83,1,1,0,0,0,1,0.00,0.00, LIN PENGKAI,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,SG84,1,1,1,0,1,0,0.00,0.00, GRACE FAN,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,SG85,1,1,0,0,0,1,0.00,0.00, CHARMAYNE HIGHFIELD,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G1,47,47,0,0,0,47,0.00,0.00, WONG SUAY PENG,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G10,47,47,1,0,1,46,0.00,0.00, FANG BINGXU,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G11,47,47,0,0,0,47,0.00,0.00, FANG BINGXU,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G12,47,47,0,0,0,48,0.00,0.00, MICHELLE LIM SI JIA,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G13,47,47,0,0,0,47,0.00,0.00, GARY LOW YU KAI,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G2,47,47,0,0,0,47,0.00,0.00, WONG SUAY PENG,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G3,47,47,1,0,1,46,0.00,0.00, WONG SUAY PENG,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G4,47,47,0,0,0,47,0.00,0.00, WONG SUAY PENG,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G5,47,47,0,0,0,47,0.00,0.00, WONG SUAY PENG,SOA
2024-25 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G6,47,47,0,0,0,47,0.00,0.00, KATHERINE YUEN,SOA
