Term,Session,Bidding Window,Course Code,Description,Section,Vacancy,Opening Vacancy,Before Process Vacancy,D.I.C.E,After Process Vacancy,Enrolled Students,Median Bid,Min Bid,Instructor,School/Department
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT001,Accounting Study Mission (Asian Studies)(Taiwan),G1,29,0,0,0,0,29,0.00,0.00, CHEN CHIH-YING,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT009,Overseas Project Experience (Accounting in Asia)(SMU-X: Jakarta & Bandung),G1,27,27,3,0,3,24,0.00,0.00," YUANTO KUSNADI, KEVIN LEE",SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G1,44,44,3,0,3,41,0.00,0.00, GRACE FAN,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G10,47,47,5,0,5,42,0.00,0.00, TIMOTHY CHENG,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G11,47,47,1,0,1,46,0.00,0.00, CHUA TESS,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G12,47,47,8,0,8,39,0.00,0.00, CHUA TESS,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G2,45,45,3,0,3,42,0.00,0.00, GRACE FAN,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G3,45,45,1,0,1,44,0.00,0.00, KELLY NGO,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G4,47,47,2,0,2,45,0.00,0.00, KELLY NGO,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G5,47,47,1,0,1,46,0.00,0.00," LEE, YUN",SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G6,47,47,1,0,1,46,0.00,0.00," LEE, YUN",SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G61,3,3,3,0,3,0,0.00,0.00, GRACE FAN,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G62,2,2,2,0,2,0,0.00,0.00, GRACE FAN,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G63,2,2,2,0,2,0,0.00,0.00, KELLY NGO,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G7,47,47,3,0,3,44,0.00,0.00," LEE, YUN",SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G8,47,47,2,0,2,45,0.00,0.00, CHARMAYNE HIGHFIELD,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G9,47,47,6,0,6,41,0.00,0.00, CHARLES CHEN,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G1,47,47,1,0,1,46,0.00,0.00, KATHERINE YUEN,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G2,47,47,0,0,0,47,0.00,0.00, KATHERINE YUEN,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G3,47,47,8,0,8,39,0.00,0.00, KELLY NGO,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G4,47,47,4,0,4,43,0.00,0.00, KELLY NGO,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G5,47,47,11,0,11,36,0.00,0.00, KELLY NGO,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G6,47,47,1,0,0,47,21.00,21.00, WONG SUAY PENG,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G7,47,47,0,0,0,47,0.00,0.00, WONG SUAY PENG,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G8,47,47,3,0,3,44,0.00,0.00, GARY LOW YU KAI,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G9,47,47,5,0,5,42,0.00,0.00, GARY LOW YU KAI,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G1,45,45,8,0,8,37,0.00,0.00, AN-PING LIN,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G2,45,45,10,0,10,35,0.00,0.00, AN-PING LIN,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G3,45,45,7,0,7,38,0.00,0.00, AN-PING LIN,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G4,45,45,8,0,8,37,0.00,0.00, PRASART JONGJAROENKAMOL,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G5,45,45,11,0,11,34,0.00,0.00, PRASART JONGJAROENKAMOL,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G6,45,45,10,0,10,35,0.00,0.00, PRASART JONGJAROENKAMOL,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G7,45,45,13,0,13,32,0.00,0.00, PRASART JONGJAROENKAMOL,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT201,Corporate Reporting and Financial Analysis,G1,45,45,2,0,2,43,0.00,0.00, CHEN CHIH-YING,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT201,Corporate Reporting and Financial Analysis,G2,45,45,4,0,4,41,0.00,0.00, CHEN CHIH-YING,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT201,Corporate Reporting and Financial Analysis,G3,45,45,2,0,2,43,0.00,0.00, CHEN CHIH-YING,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT201,Corporate Reporting and Financial Analysis,G4,45,45,7,0,7,38,0.00,0.00, CHEN CHIH-YING,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT201,Corporate Reporting and Financial Analysis,G5,45,45,4,0,4,41,0.00,0.00, CHARLES CHEN,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT221,Accounting Information Systems,G1,45,45,18,0,18,27,0.00,0.00, WONG SUAY PENG,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT221,Accounting Information Systems,G2,45,45,5,0,5,40,0.00,0.00, WONG SUAY PENG,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT223,Taxation,G1,45,45,0,0,0,45,0.00,0.00," NG RUIMIN, SHAPHAN HARUN",SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT223,Taxation,G2,45,45,0,0,0,45,0.00,0.00," NG RUIMIN, SHAPHAN HARUN",SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT223,Taxation,G3,45,45,1,0,1,44,0.00,0.00," CHO ZI EN, SHAWN",SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT223,Taxation,G4,45,45,3,0,3,42,0.00,0.00, PHUA KUAN HUA,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT224,Financial Reporting and Analysis,G1,45,45,8,0,8,37,0.00,0.00, GOH BENG WEE,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT224,Financial Reporting and Analysis,G2,45,45,6,0,6,39,0.00,0.00, GOH BENG WEE,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT224,Financial Reporting and Analysis,G3,45,45,7,0,7,38,0.00,0.00, GOH BENG WEE,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT331,Audit and Assurance,G1,45,45,7,0,7,38,0.00,0.00, CHUA WAN RONG,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT331,Audit and Assurance,G2,45,45,4,0,4,41,0.00,0.00, CHUA WAN RONG,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT331,Audit and Assurance,G3,45,45,20,0,20,25,0.00,0.00, KATHERINE YUEN,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT331,Audit and Assurance,G4,45,45,9,0,9,36,0.00,0.00, KATHERINE YUEN,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT332,Accounting Thought and Governance,G1,45,45,11,0,11,34,0.00,0.00, WANG RENCHENG,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT332,Accounting Thought and Governance,G2,45,45,20,0,20,25,0.00,0.00, WANG RENCHENG,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT332,Accounting Thought and Governance,G3,45,45,10,0,10,35,0.00,0.00, WANG RENCHENG,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT332,Accounting Thought and Governance,G4,45,45,21,0,21,24,0.00,0.00, LIANDONG ZHANG,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT332,Accounting Thought and Governance,G5,45,45,8,0,8,37,0.00,0.00, LIANDONG ZHANG,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT334,Intermediate Financial Accounting,G2,45,45,1,0,1,44,0.00,0.00, ANDREW LEE,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT334,Intermediate Financial Accounting,G3,45,45,2,0,2,43,0.00,0.00," CHANG, HYE SUN",SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT334,Intermediate Financial Accounting,G4,45,45,22,0,22,23,0.00,0.00," CHANG, HYE SUN",SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT335,Advanced Financial Accounting,G1,45,45,9,0,9,36,0.00,0.00, YUE HENG,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT335,Advanced Financial Accounting,G2,45,45,1,0,1,44,0.00,0.00, YUE HENG,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT335,Advanced Financial Accounting,G3,45,45,3,0,3,42,0.00,0.00, LIM CHEE YEOW,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT335,Advanced Financial Accounting,G4,45,45,2,0,2,43,0.00,0.00, LIM CHEE YEOW,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT335,Advanced Financial Accounting,G5,45,45,7,0,7,38,0.00,0.00, LIM CHEE YEOW,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT336,Valuation,G1,45,45,11,0,11,34,0.00,0.00, CHENG NAM SANG,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT336,Valuation,G2,45,45,2,0,2,43,0.00,0.00, CHENG NAM SANG,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT336,Valuation,G3,45,45,3,0,3,42,0.00,0.00, CHENG NAM SANG,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT336,Valuation,G4,45,45,5,0,5,40,0.00,0.00, CHENG NAM SANG,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT337,Statistical Programming,G1,45,45,1,0,1,44,0.00,0.00, PARK KYUNGJIN,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT337,Statistical Programming,G2,45,45,10,0,10,35,0.00,0.00, PARK KYUNGJIN,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT337,Statistical Programming,G3,45,45,2,0,2,43,0.00,0.00, LIN PENGKAI,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT337,Statistical Programming,G4,45,45,11,0,11,34,0.00,0.00, LIN PENGKAI,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT403,Advanced Taxation,G1,45,45,6,0,6,39,0.00,0.00, CHAN WENJIE,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT403,Advanced Taxation,G2,45,45,3,0,3,42,0.00,0.00, CHAN WENJIE,SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT410,Internal Audit(SMU-X),G1,45,45,10,0,10,35,0.00,0.00," CHUA WAN RONG, STEPHEN CHING",SOA
2024-25 Term 2,Regular Academic Session,Round 2A Window 3,ACCT414,Accounting Analytics Capstone(SMU-X),G1,40,40,14,0,14,26,0.00,0.00," BENJAMIN LEE, CHUA WAN RONG",SOA
