ï»¿Term,Session,Bidding Window,Course Code,Description,Section,Vacancy,Opening Vacancy,Before Process Vacancy,D.I.C.E,After Process Vacancy,Enrolled Students,Median Bid,Min Bid,Instructor,School/Department,Term
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR-IS1702,Computational Thinking,G1,43,43,0,0,0,43,0.0,0.0, SOON HUI SHIN VIVIEN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR-IS1702,Computational Thinking,G2,43,43,0,0,0,43,0.0,0.0, CHENG SHIH-FEN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR-IS1702,Computational Thinking,G3,42,42,1,0,1,41,0.0,0.0, CHENG SHIH-FEN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR-IS1702,Computational Thinking,G4,42,42,0,0,0,42,0.0,0.0, CHENG SHIH-FEN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR-IS1702,Computational Thinking,G5,41,41,1,0,1,40,0.0,0.0, SOON HUI SHIN VIVIEN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR-IS1702,Computational Thinking,G6,40,40,0,0,0,40,0.0,0.0, TAN KHENG LEONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR-IS1702,Computational Thinking,G7,40,40,2,0,2,38,0.0,0.0, MOK HENG NGEE,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR-IS1702,Computational Thinking,G8,40,40,2,0,2,38,0.0,0.0, SOON HUI SHIN VIVIEN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G10,40,40,4,0,4,36,0.0,0.0, KOH CHUAN LEONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G11,43,43,0,0,0,43,0.0,0.0, KOH CHUAN LEONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G12,40,40,8,0,8,32,0.0,0.0, KOH CHUAN LEONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G13,40,40,8,0,7,33,40.0,40.0, KARTHIKEYAN KANNAN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G14,42,42,0,0,0,42,0.0,0.0, WANG HAI,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G2,40,40,5,0,5,35,0.0,0.0, MA DAN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G3,40,40,1,0,1,39,0.0,0.0, MICHELLE CHEONG LEE FONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G4,42,42,0,0,0,42,0.0,0.0, MICHELLE CHEONG LEE FONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G5,40,40,3,0,3,37,0.0,0.0, MANOJ THULASIDAS,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G6,43,43,1,0,1,42,0.0,0.0, MANOJ THULASIDAS,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G7,40,40,5,0,5,35,0.0,0.0, MANOJ THULASIDAS,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G8,40,40,8,0,8,32,0.0,0.0, ALDY GUNAWAN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS102,Programming Fundamentals II,G1,44,44,0,0,0,44,0.0,0.0, LEE YEOW LEONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS102,Programming Fundamentals II,G2,45,45,0,0,0,45,0.0,0.0, LEE YEOW LEONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS105,Statistical Thinking for Data Science,G1,42,39,0,0,0,39,0.0,0.0, FANG YUAN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS105,Statistical Thinking for Data Science,G2,40,40,3,0,3,37,0.0,0.0, FANG YUAN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS105,Statistical Thinking for Data Science,G3,42,40,3,0,3,37,0.0,0.0, WU MIN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS106,Computer Hardware and Embedded Systems,G1,43,43,0,0,0,43,0.0,0.0, ZHOU ZIMU,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS106,Computer Hardware and Embedded Systems,G2,46,46,0,0,0,46,0.0,0.0, ZHOU ZIMU,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS202,Design and Analysis of Algorithms,G1,44,42,7,0,7,35,0.0,0.0, ARUNESH SINHA,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS202,Design and Analysis of Algorithms,G2,44,42,10,0,10,32,0.0,0.0, ARUNESH SINHA,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS202,Design and Analysis of Algorithms,G3,44,42,7,0,7,35,0.0,0.0, ARUNESH SINHA,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS204,Interconnection of Cyber Physical Systems,G1,44,44,2,0,2,42,0.0,0.0, PIUS LEE,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS205,Operating System Concepts with Android,G1,49,49,0,0,0,49,0.0,0.0, NGO CHONG WAH,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS205,Operating System Concepts with Android,G2,47,47,0,0,0,47,0.0,0.0, NGO CHONG WAH,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS206,Software Product Management,G1,49,48,0,0,0,48,0.0,0.0, SUBHAJIT DATTA,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS206,Software Product Management,G2,52,51,0,0,0,51,0.0,0.0, SUBHAJIT DATTA,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS301,IT Solution Architecture(SMU-X),G1,44,44,3,0,3,41,0.0,0.0, OUH ENG LIEH,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS420,Introduction to Artificial Intelligence,G1,44,44,4,0,4,40,0.0,0.0, AKSHAT KUMAR,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS420,Introduction to Artificial Intelligence,G2,42,42,6,0,6,36,0.0,0.0, LEE MIN HUN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS424,Image Perception,G1,44,44,6,0,4,40,10.08,10.08, DANIEL LIN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS426,Agent-based Modeling and Simulation,G1,42,42,4,0,4,38,0.0,0.0, CHENG SHIH-FEN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS440,Foundations of Cybersecurity,G1,43,43,0,0,0,43,0.0,0.0, DING XUHUA,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS440,Foundations of Cybersecurity,G2,45,45,1,0,0,45,10.05,10.05, PANG GUANSONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS440,Foundations of Cybersecurity,G3,45,45,0,0,0,45,0.0,0.0, PANG GUANSONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS441,Network Security,G1,30,30,2,0,2,28,0.0,0.0, DING XUHUA,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS442,Data Security and Privacy,G1,41,41,9,0,9,32,0.0,0.0, SHAR LWIN KHIN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS443,Software and Systems Security,G1,45,45,5,0,5,40,0.0,0.0, DEBIN GAO,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS460,Foundations of Cyber-Physical Systems(SMU-X),G1,44,44,9,0,9,35,0.0,0.0, PIUS LEE,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS461,Mobile & Pervasive Computing and Applications,G1,45,45,5,0,5,40,0.0,0.0, THIVYA KANDAPPU,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS462,Internet of Things: Technology and Applications(SMU-X),G1,44,44,14,0,14,30,0.0,0.0, PIUS LEE,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS462,Internet of Things: Technology and Applications(SMU-X),G2,39,39,15,0,15,24,0.0,0.0, MA DONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS471,Guided Research in Computer Science II,G1,45,30,30,0,30,0,0.0,0.0, SUN JUN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS472,Guided Advanced Research in Computer Science,G1,45,40,38,0,38,2,0.0,0.0, SUN JUN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS480,Computer Science Project Experience,G1,11,11,0,0,0,11,0.0,0.0, LAU HOONG CHUIN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS480,Computer Science Project Experience,G2,12,12,0,0,0,12,0.0,0.0, MA DONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS490,Computer Science Work Study Elective,G1,45,0,0,0,0,4,0.0,0.0, LEE YEOW LEONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS105,Business Data Management,G1,45,45,1,0,1,44,0.0,0.0, MOK HENG NGEE,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS105,Business Data Management,G2,42,42,2,0,2,40,0.0,0.0, FIONA LEE,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS105,Business Data Management,G3,44,44,0,0,0,44,0.0,0.0, SWETHA GOTTIPATI,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS105,Business Data Management,G4,44,44,1,0,1,43,0.0,0.0, SUBHAJIT DATTA,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS111,Introduction to Programming,G1,44,44,1,0,1,43,0.0,0.0, LIN MEI,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS111,Introduction to Programming,G2,43,43,1,0,1,42,0.0,0.0, JOELLE ELMALEH,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS111,Introduction to Programming,G3,44,44,2,0,1,43,72.37,72.37, MICHELLE KAN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS112,Data Management,G1,39,39,0,0,0,39,0.0,0.0, ZHENG BAIHUA,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS112,Data Management,G10,36,36,2,0,2,34,0.0,0.0, LI YUCHEN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS112,Data Management,G11,36,36,3,0,3,33,0.0,0.0, NGO CHONG WAH,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS112,Data Management,G12,38,38,3,0,3,35,0.0,0.0, MOK HENG NGEE,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS112,Data Management,G13,36,36,2,0,2,34,0.0,0.0, MOK HENG NGEE,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS112,Data Management,G14,36,36,3,0,3,33,0.0,0.0, MOK HENG NGEE,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS112,Data Management,G15,36,36,2,0,2,34,0.0,0.0, FWA HUA LEONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS112,Data Management,G2,40,39,0,0,0,39,0.0,0.0, ZHENG BAIHUA,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS112,Data Management,G3,36,36,1,0,1,35,0.0,0.0, KYRIAKOS MOURATIDIS,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS112,Data Management,G4,36,36,2,0,2,34,0.0,0.0, KYRIAKOS MOURATIDIS,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS112,Data Management,G5,36,36,2,0,2,34,0.0,0.0, KYRIAKOS MOURATIDIS,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS112,Data Management,G6,36,36,0,0,0,36,0.0,0.0, KYRIAKOS MOURATIDIS,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS112,Data Management,G7,36,36,3,0,3,33,0.0,0.0, LIM EE-PENG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS112,Data Management,G8,36,36,4,0,4,32,0.0,0.0, LIM EE-PENG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS112,Data Management,G9,36,36,4,0,4,32,0.0,0.0, LI YUCHEN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS113,Web Application Development I,G1,40,40,0,0,0,40,0.0,0.0, DAVID LO,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS113,Web Application Development I,G10,40,40,1,0,1,39,0.0,0.0, CAO YIXIN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS113,Web Application Development I,G11,40,40,2,0,2,38,0.0,0.0, LAU YI MENG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS113,Web Application Development I,G2,40,40,0,0,0,40,0.0,0.0, DAVID LO,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS113,Web Application Development I,G3,40,40,2,0,2,38,0.0,0.0, NICHOLAS TAN CHEE HIANG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS113,Web Application Development I,G4,40,40,1,0,1,39,0.0,0.0, NICHOLAS TAN CHEE HIANG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS113,Web Application Development I,G5,40,40,1,0,1,39,0.0,0.0, SHAR LWIN KHIN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS113,Web Application Development I,G6,40,40,3,0,3,37,0.0,0.0, SHAR LWIN KHIN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS113,Web Application Development I,G7,40,40,1,0,1,39,0.0,0.0, FWA HUA LEONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS113,Web Application Development I,G8,40,40,1,0,1,39,0.0,0.0, FWA HUA LEONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS113,Web Application Development I,G9,40,40,2,0,2,38,0.0,0.0, CAO YIXIN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS211,Interaction Design and Prototyping,G1,40,40,6,0,6,34,0.0,0.0, BENJAMIN GAN KOK SIEW,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS213,Enterprise Solution Development,G1,42,42,0,0,0,42,0.0,0.0, JIANG LINGXIAO,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS213,Enterprise Solution Development,G11,40,40,9,0,9,31,0.0,0.0, LUM ENG KIT,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS213,Enterprise Solution Development,G2,41,41,0,0,0,41,0.0,0.0, JIANG LINGXIAO,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS213,Enterprise Solution Development,G3,42,42,0,0,0,42,0.0,0.0, JIANG LINGXIAO,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS213,Enterprise Solution Development,G4,40,40,2,0,2,38,0.0,0.0, ALAN MEGARGEL,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS213,Enterprise Solution Development,G5,40,40,0,0,0,40,0.0,0.0, ALAN MEGARGEL,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS213,Enterprise Solution Development,G6,41,41,0,0,0,41,0.0,0.0, CHRISTOPHER MICHAEL POSKITT,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS213,Enterprise Solution Development,G7,42,42,0,0,0,42,0.0,0.0, RANDALL EUGENE DURAN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS213,Enterprise Solution Development,G8,41,41,0,0,0,41,0.0,0.0, RANDALL EUGENE DURAN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS213,Enterprise Solution Development,G9,40,40,2,0,2,38,0.0,0.0, XIE XIAOFEI,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS214,Enterprise Solution Management,G1,40,40,0,0,0,40,0.0,0.0, PAUL GRIFFIN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS214,Enterprise Solution Management,G10,39,39,7,0,7,32,0.0,0.0, WENDY TAN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS214,Enterprise Solution Management,G2,40,40,1,0,1,39,0.0,0.0, PAUL GRIFFIN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS214,Enterprise Solution Management,G3,40,40,1,0,1,39,0.0,0.0, RAFAEL J. BARROS,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS214,Enterprise Solution Management,G4,42,42,0,0,0,42,0.0,0.0, RAFAEL J. BARROS,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS214,Enterprise Solution Management,G5,40,40,0,0,0,40,0.0,0.0, RAFAEL J. BARROS,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS214,Enterprise Solution Management,G6,40,40,1,0,1,39,0.0,0.0, TA NGUYEN BINH DUONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS214,Enterprise Solution Management,G7,40,40,0,0,0,40,0.0,0.0, TA NGUYEN BINH DUONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS214,Enterprise Solution Management,G8,42,42,0,0,0,42,0.0,0.0, RAFAEL J. BARROS,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS214,Enterprise Solution Management,G9,42,42,0,0,0,42,0.0,0.0, TA NGUYEN BINH DUONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS215,Digital Business - Technologies and Transformation,G1,40,40,0,0,0,40,0.0,0.0, LO SIAW LING,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS215,Digital Business - Technologies and Transformation,G10,40,40,6,0,6,34,0.0,0.0, CHRISTOPHER MICHAEL POSKITT,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS215,Digital Business - Technologies and Transformation,G11,40,40,9,0,9,31,0.0,0.0, LAU YI MENG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS215,Digital Business - Technologies and Transformation,G2,40,40,0,0,0,40,0.0,0.0, LO SIAW LING,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS215,Digital Business - Technologies and Transformation,G3,40,40,0,0,0,40,0.0,0.0, LO SIAW LING,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS215,Digital Business - Technologies and Transformation,G4,40,40,0,0,0,40,0.0,0.0, GUO ZHILING,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS215,Digital Business - Technologies and Transformation,G5,40,40,0,0,0,40,0.0,0.0, GUO ZHILING,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS215,Digital Business - Technologies and Transformation,G6,40,40,0,0,0,40,0.0,0.0, GUO ZHILING,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS215,Digital Business - Technologies and Transformation,G7,41,41,0,0,0,41,0.0,0.0, CHRISTOPHER MICHAEL POSKITT,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS215,Digital Business - Technologies and Transformation,G8,39,39,4,0,4,35,0.0,0.0, CHRISTOPHER MICHAEL POSKITT,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS215,Digital Business - Technologies and Transformation,G9,40,40,5,0,5,35,0.0,0.0, CHRISTOPHER MICHAEL POSKITT,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS216,Web Application Development II,G1,40,40,20,0,20,20,0.0,0.0, KYONG JIN SHIM,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS217,Analytics Foundation,G1,43,42,0,0,0,42,0.0,0.0, SEEMA CHOKSHI,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS217,Analytics Foundation,G2,44,44,0,0,0,44,0.0,0.0, SEEMA CHOKSHI,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS217,Analytics Foundation,G3,43,42,1,0,1,41,0.0,0.0, GAO YANG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS217,Analytics Foundation,G4,45,45,0,0,0,45,0.0,0.0, TAN KAR WAY,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS405,Technology Entrepreneurship Study Mission (Non-Asia),G1,45,0,0,0,0,20,0.0,0.0, BENJAMIN GAN KOK SIEW,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS419,Retail Banking and Mobile Technology,G1,45,45,4,0,4,41,0.0,0.0, PATRICK THNG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS423,Financial Markets Processes and Technology,G1,42,42,3,0,3,39,0.0,0.0, RANDALL EUGENE DURAN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS423,Financial Markets Processes and Technology,G2,45,45,0,0,0,45,0.0,0.0, RAMAPRASAD RAMAKRISHNAN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS424,Data Mining and Business Analytics,G1,45,45,0,0,0,45,0.0,0.0, HUANG ZHIWU,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS425,Digital Transformation Strategy(SMU-X),G1,45,45,0,0,0,45,0.0,0.0," ANNIE NG, WONG YUET NAN",SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS428,Visual Analytics for Business Intelligence,G1,43,43,0,0,0,43,0.0,0.0, THE SHAO YANN BENEDICT,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS428,Visual Analytics for Business Intelligence,G2,44,44,5,0,5,39,0.0,0.0, LIAO LIZI,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS434,Social Analytics and Applications(SMU-X),G1,42,42,2,0,2,40,0.0,0.0, KYONG JIN SHIM,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS434,Social Analytics and Applications(SMU-X),G2,42,42,1,0,1,41,0.0,0.0, KYONG JIN SHIM,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS442,Object Oriented Programming(SMU-X),G1,44,44,0,0,0,44,0.0,0.0, LEE YEOW LEONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS442,Object Oriented Programming(SMU-X),G2,42,42,0,0,0,42,0.0,0.0, OUH ENG LIEH,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS444,Digital Banking Enterprise Architecture,G1,41,41,9,0,9,32,0.0,0.0, ALAN MEGARGEL,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS446,Managing Customer Relations with Analytics: Asian Insights,G1,41,41,3,0,3,38,0.0,0.0, ALAN HO,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS446,Managing Customer Relations with Analytics: Asian Insights,G2,42,42,0,0,0,42,0.0,0.0, ALAN HO,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS446,Managing Customer Relations with Analytics: Asian Insights,G3,41,41,0,0,0,41,0.0,0.0, RAFAEL J. BARROS,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS447,Smart Healthcare in Asia(SMU-X),G1,39,39,11,0,11,28,0.0,0.0," SEAN LAM, ANG BOON YEW",SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS450,Text Mining and Language Processing,G1,41,41,3,0,2,39,10.0,10.0, SWAPNA GOTTIPATI,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS450,Text Mining and Language Processing,G2,41,41,7,0,7,34,0.0,0.0, WANG ZHAOXIA,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS450,Text Mining and Language Processing,G3,41,41,0,0,0,41,0.0,0.0, WANG ZHAOXIA,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS451,Digital Analytics Technology,G1,30,30,3,0,3,27,0.0,0.0, LO SIAW LING,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS453,Financial Analytics,G1,42,42,1,0,0,42,48.78,48.78, SEEMA CHOKSHI,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS453,Financial Analytics,G2,41,41,0,0,0,41,0.0,0.0, SEEMA CHOKSHI,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS454,Applied Enterprise Analytics(SMU-X),G1,41,41,16,0,16,25,0.0,0.0, SEEMA CHOKSHI,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS458,Cloud Management and Engineering,G1,44,44,0,0,0,44,0.0,0.0," ZHOU YU XUAN, SOPHIA",SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS458,Cloud Management and Engineering,G2,43,43,0,0,0,43,0.0,0.0, SIM CHER BOON,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS459,Big Data Architecture,G1,40,40,2,0,2,38,0.0,0.0, ZHANG ZHENJIE,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS460,Machine Learning & Applications,G1,41,41,8,0,8,33,0.0,0.0, WANG ZHAOXIA,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS470,Guided Research in Computing,G1,45,0,0,0,0,0,0.0,0.0, SUN JUN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS472,Guided Advanced Research in Computing,G1,45,10,7,0,7,3,0.0,0.0, SUN JUN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS483,IS/SMT Project Experience (Applications)(SMU-X),G1,50,50,27,0,27,23,0.0,0.0, THIVYA KANDAPPU,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS483,IS/SMT Project Experience (Applications)(SMU-X),G2,50,50,34,0,34,16,0.0,0.0, GAO WEI,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS483,IS/SMT Project Experience (Applications)(SMU-X),G3,50,50,34,0,34,16,0.0,0.0, DANIEL LIN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS483,IS/SMT Project Experience (Applications)(SMU-X),G4,50,50,22,0,22,28,0.0,0.0, WANG ZHAOXIA,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS483,IS/SMT Project Experience (Applications)(SMU-X),G5,80,50,32,0,32,18,0.0,0.0, LIAO LIZI,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS483,IS/SMT Project Experience (Applications)(SMU-X),G6,50,50,21,0,21,29,0.0,0.0, TAN POH CHOO,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,IS483,IS/SMT Project Experience (Applications)(SMU-X),G7,50,50,34,0,34,16,0.0,0.0, PAVNEET SINGH BEDI,SIS,
