Term,Session,Bidding Window,Course Code,Description,Section,Vacancy,Opening Vacancy,Before Process Vacancy,D.I.C.E,After Process Vacancy,Enrolled Students,Median Bid,Min Bid,Instructor,School/Department
2025-26 Term 1,Regular Academic Session,Round 2A Window 3,ACCT009,Overseas Project Experience (Accounting in Asia)(SMU-X: Hong Kong & Shenzhen),G1,25,25,0,0,0,28,0.00,0.00," YUANTO KUSNADI, KEVIN LEE",SOA
2025-26 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G1,48,48,0,0,0,48,0.00,0.00, RICHARD CROWLEY,SOA
2025-26 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G10,48,48,1,0,1,47,0.00,0.00, JED KHOO,SOA
2025-26 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G11,48,48,0,0,0,48,0.00,0.00, CHARMAYNE HIGHFIELD,SOA
2025-26 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G12,48,48,0,0,0,49,0.00,0.00, CHARMAYNE HIGHFIELD,SOA
2025-26 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G13,48,48,0,0,0,48,0.00,0.00, CHARMAYNE HIGHFIELD,SOA
2025-26 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G14,48,48,1,0,1,47,0.00,0.00, CHARLES CHEN,SOA
2025-26 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G2,48,48,0,0,0,48,0.00,0.00, RICHARD CROWLEY,SOA
2025-26 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G3,48,48,1,0,1,47,0.00,0.00, RICHARD CROWLEY,SOA
2025-26 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G4,48,48,0,0,0,48,0.00,0.00, YIN WANG,SOA
2025-26 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G5,48,48,0,0,0,48,0.00,0.00, YIN WANG,SOA
2025-26 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G6,48,48,0,0,0,48,0.00,0.00, DAVID SAMUEL,SOA
2025-26 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G61,3,0,0,0,0,0,0.00,0.00," RICHARD CROWLEY, RICHARD CROWLEY",SOA
