Term,Session,Bidding Window,Course Code,Description,Section,Vacancy,Opening Vacancy,Before Process Vacancy,D.I.C.E,After Process Vacancy,Enrolled Students,Median Bid,Min Bid,Instructor,School/Department
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT009,Overseas Project Experience (Accounting in Asia)(SMU-X: Jakarta),G1,25,23,2,0,2,21,0.00,0.00," YUANTO KUSNADI, KEVIN LEE",SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G1,45,45,2,0,2,43,0.00,0.00, RICHARD CROWLEY,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G10,45,45,4,0,4,41,0.00,0.00, DAVID SAMUEL,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G11,45,45,4,0,4,41,0.00,0.00, DAVID SAMUEL,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G12,45,45,2,0,2,43,0.00,0.00, CHARMAYNE HIGHFIELD,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G13,45,45,3,0,3,42,0.00,0.00, CHARLES CHEN,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G2,45,45,2,0,2,43,0.00,0.00, RICHARD CROWLEY,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G3,45,45,2,0,1,44,10.00,10.00, YIN WANG,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G4,45,45,2,0,2,43,0.00,0.00, YIN WANG,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G5,45,45,3,0,3,42,0.00,0.00, YIN WANG,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G6,45,45,4,0,4,41,0.00,0.00, YUN LEE,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G7,45,45,3,0,3,42,0.00,0.00, YUN LEE,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G8,45,45,3,0,3,42,0.00,0.00, YUN LEE,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G9,45,45,4,0,4,41,0.00,0.00, DAVID SAMUEL,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G1,45,45,0,0,0,45,0.00,0.00, WONG SUAY PENG,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G10,45,45,0,0,0,45,0.00,0.00, KELLY NGO,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G11,45,45,0,0,0,45,0.00,0.00, KELLY NGO,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G12,45,45,3,0,3,42,0.00,0.00, KELLY NGO,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G13,45,45,0,0,0,45,0.00,0.00, KELLY NGO,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G2,45,45,0,0,0,45,0.00,0.00, WONG SUAY PENG,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G3,45,45,0,0,0,45,0.00,0.00, WONG SUAY PENG,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G4,45,45,0,0,0,45,0.00,0.00, WONG SUAY PENG,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G5,45,45,0,0,0,45,0.00,0.00, WONG SUAY PENG,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G6,45,45,1,0,1,44,0.00,0.00, KATHERINE YUEN,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G7,45,45,0,0,0,45,0.00,0.00, KATHERINE YUEN,SOA
2022-23 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G8,45,45,0,0,0,45,0.00,0.00, KATHERINE YUEN,SOA
