Term,Session,Bidding Window,Course Code,Description,Section,Vacancy,Opening Vacancy,Before Process Vacancy,D.I.C.E,After Process Vacancy,Enrolled Students,Median Bid,Min Bid,Instructor,School/Department
2023-24 Term 2,Regular Academic Session,Round 2A Window 3,ACCT001,Accounting Study Mission (Asian Studies)(South Korea (Seoul)),G1,29,29,0,0,0,29,0.00,0.00, ZANG YOONSEOK,SOA
2023-24 Term 2,Regular Academic Session,Round 2A Window 3,ACCT001,Accounting Study Mission (Asian Studies)(Hong Kong),G2,29,27,0,0,0,29,0.00,0.00, YUANTO KUSNADI,SOA
2023-24 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G1,45,45,0,0,0,45,0.00,0.00, GRACE FAN,SOA
2023-24 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G10,45,45,2,0,2,43,0.00,0.00, DARYL AW,SOA
2023-24 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G11,45,45,1,0,1,44,0.00,0.00, DARYL AW,SOA
2023-24 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G12,45,45,0,0,0,45,0.00,0.00, LEE GEOK LIAN,SOA
2023-24 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G13,45,45,1,0,1,44,0.00,0.00, LEE GEOK LIAN,SOA
2023-24 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G2,45,45,2,0,2,43,0.00,0.00, GRACE FAN,SOA
2023-24 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G3,45,45,1,0,1,44,0.00,0.00," NG RUIMIN, SHAPHAN HARUN",SOA
2023-24 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G4,45,45,1,0,1,44,0.00,0.00," NG RUIMIN, SHAPHAN HARUN",SOA
2023-24 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G5,45,45,1,0,1,44,0.00,0.00, KELLY NGO,SOA
2023-24 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G6,45,45,0,0,0,45,0.00,0.00, KELLY NGO,SOA
2023-24 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G7,45,45,3,0,3,42,0.00,0.00, CHARMAYNE HIGHFIELD,SOA
